user,product,images,content,score,total,like,dislike
장소*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/95/63/image1/thumbnail_6b75e45234a2749d.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/95/63/image1/thumbnail_6b75e45234a2749d.jpg']",진짜 색감이 대박입니다 케이스도 넘이쁘고 물건입니당, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/95/80/image1/thumbnail_039e6c4a49b8560c.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/95/80/image1/thumbnail_039e6c4a49b8560c.jpg']",얼루어라인은 묘하면서 탁한 로즈빛이 너무 예뻐요(2020-07-28 17:40:28 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족빠른 배송 훌륭한 품질 감사합니다(2020-07-26 15:00:05 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
백남*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],얼루어 정말 좋아하는데 벨벳질감 까지 너무 좋아요 ㅠㅠ, 아주 좋아요,0,0,0
채명*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],"색도 예쁘고 가볍게 발려요. 처음 보는 질감인데, 매끈한 벨벳 마무리에 굉장히 얇게 밀착되는 편이라 좋았어요", 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/94/24/image1/thumbnail_df3fc96b1fcaa9f1.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/94/24/image1/thumbnail_df3fc96b1fcaa9f1.jpg']",약간 오일리한듯한 질감이면서 뽀송하고 컬러가 아주 예쁩니다! 연한 팥죽색이랄까요? 너무 너무 예뻐요~(2020-07-23 00:25:04 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족이거는 첨 써보는데 색이 너무 이쁜거같아요ㅠㅠ(2020-07-22 22:27:45 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
박지*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],매끄럽게 발리고 광택도 맘에들어요, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/93/61/image1/thumbnail_0bf47a8d42465ca5.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/93/61/image1/thumbnail_0bf47a8d42465ca5.jpg']",맨위가 뉴퍼스펙티브 가운데가 얼루어먼트 입니다.얼루어 색상 너무잘쓰고있다가 매트가나와서 사봤는데 여름에 더 좋은것같아요.(2020-07-21 03:52:14 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
천혜*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/93/47/image1/thumbnail_9f4521df368ca689.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/93/47/image1/thumbnail_9f4521df368ca689.jpg']",핑크 베이지 색감! 누디하면서 고급스러운 느낌 주고 싶을 때 바르면 좋겠네요!, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족발색 정말 잘되구 색이 흔하지 않게 이뻐요!(2020-07-20 18:34:09 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족존예ㅠㅠㅠ얼루어먼트ㅠㅠㅠ진짜 마음에 들어요(2020-07-20 17:05:11 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
